p_index_int,"acc_tag","acc_txt","replaceText","print_index","Print_index_a0000"
1,"_726_","726","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_726_','a00001') WHERE 1; ","1","a00001"
2,"_725_","725","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_725_','a00002') WHERE 1; ","2","a00002"
3,"_724_","724","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_724_','a00003') WHERE 1; ","3","a00003"
4,"_692_","692","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_692_','a00004') WHERE 1; ","4","a00004"
5,"_723_","723","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_723_','a00005') WHERE 1; ","5","a00005"
6,"_727_","727","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_727_','a00006') WHERE 1; ","6","a00006"
7,"_984_","984","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_984_','a00007') WHERE 1; ","7","a00007"
8,"_472_","472","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_472_','a00008') WHERE 1; ","8","a00008"
9,"_721_","721","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_721_','a00009') WHERE 1; ","9","a00009"
10,"_476_","476","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_476_','a00010') WHERE 1; ","10","a00010"
11,"_720_","720","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_720_','a00011') WHERE 1; ","11","a00011"
12,"_915_","915","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_915_','a00012') WHERE 1; ","12","a00012"
13,"_919_","919","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_919_','a00013') WHERE 1; ","13","a00013"
14,"_473_","473","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_473_','a00014') WHERE 1; ","14","a00014"
15,"_1_","1","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1_','a00015') WHERE 1; ","15","a00015"
16,"_718_","718","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_718_','a00016') WHERE 1; ","16","a00016"
17,"_917_","917","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_917_','a00017') WHERE 1; ","17","a00017"
18,"_914_","914","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_914_','a00018') WHERE 1; ","18","a00018"
19,"_474_","474","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_474_','a00019') WHERE 1; ","19","a00019"
20,"_475_","475","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_475_','a00020') WHERE 1; ","20","a00020"
21,"_719_","719","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_719_','a00021') WHERE 1; ","21","a00021"
22,"_916_","916","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_916_','a00022') WHERE 1; ","22","a00022"
23,"_446_","446","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_446_','a00023') WHERE 1; ","23","a00023"
24,"_913_","913","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_913_','a00024') WHERE 1; ","24","a00024"
25,"_918_","918","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_918_','a00025') WHERE 1; ","25","a00025"
26,"_912_","912","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_912_','a00026') WHERE 1; ","26","a00026"
27,"_920_","920","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_920_','a00027') WHERE 1; ","27","a00027"
28,"_235c_","235c","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235c_','a00028') WHERE 1; ","28","a00028"
29,"_38_","38","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_38_','a00029') WHERE 1; ","29","a00029"
30,"_39_","39","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_39_','a00030') WHERE 1; ","30","a00030"
31,"_235d_","235d","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235d_','a00031') WHERE 1; ","31","a00031"
32,"_43_","43","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_43_','a00032') WHERE 1; ","32","a00032"
33,"_44_","44","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_44_','a00033') WHERE 1; ","33","a00033"
34,"_41_","41","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_41_','a00034') WHERE 1; ","34","a00034"
35,"_2_","2","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2_','a00035') WHERE 1; ","35","a00035"
36,"_235b_","235b","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235b_','a00036') WHERE 1; ","36","a00036"
37,"_42_","42","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_42_','a00037') WHERE 1; ","37","a00037"
38,"_40_","40","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_40_','a00038') WHERE 1; ","38","a00038"
39,"_47_","47","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_47_','a00039') WHERE 1; ","39","a00039"
40,"_45_","45","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_45_','a00040') WHERE 1; ","40","a00040"
41,"_46_","46","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_46_','a00041') WHERE 1; ","41","a00041"
42,"_50_","50","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_50_','a00042') WHERE 1; ","42","a00042"
43,"_235f_","235f","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235f_','a00043') WHERE 1; ","43","a00043"
44,"_235g_","235g","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235g_','a00044') WHERE 1; ","44","a00044"
45,"_235e_","235e","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235e_','a00045') WHERE 1; ","45","a00045"
46,"_48_","48","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_48_','a00046') WHERE 1; ","46","a00046"
47,"_235h_","235h","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235h_','a00047') WHERE 1; ","47","a00047"
48,"_49_","49","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_49_','a00048') WHERE 1; ","48","a00048"
49,"_235j_","235j","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235j_','a00049') WHERE 1; ","49","a00049"
50,"_235i_","235i","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235i_','a00050') WHERE 1; ","50","a00050"
51,"_4_","4","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_4_','a00051') WHERE 1; ","51","a00051"
52,"_51_","51","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_51_','a00052') WHERE 1; ","52","a00052"
53,"_5_","5","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_5_','a00053') WHERE 1; ","53","a00053"
54,"_53_","53","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_53_','a00054') WHERE 1; ","54","a00054"
55,"_449_","449","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_449_','a00055') WHERE 1; ","55","a00055"
56,"_235a_","235a","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235a_','a00056') WHERE 1; ","56","a00056"
57,"_6_","6","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_6_','a00057') WHERE 1; ","57","a00057"
58,"_3_","3","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_3_','a00058') WHERE 1; ","58","a00058"
59,"_52_","52","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_52_','a00059') WHERE 1; ","59","a00059"
60,"_450_","450","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_450_','a00060') WHERE 1; ","60","a00060"
61,"_235k_","235k","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_235k_','a00061') WHERE 1; ","61","a00061"
62,"_1990_","1990","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1990_','a00062') WHERE 1; ","62","a00062"
63,"_2028_","2028","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2028_','a00063') WHERE 1; ","63","a00063"
64,"_2107_","2107","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2107_','a00064') WHERE 1; ","64","a00064"
65,"_1984_","1984","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1984_','a00065') WHERE 1; ","65","a00065"
66,"_1777_","1777","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1777_','a00066') WHERE 1; ","66","a00066"
67,"_2170_","2170","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2170_','a00067') WHERE 1; ","67","a00067"
