p_index_int,"p_index_text",acc_int,"acc_tag","acc_txt","replaceText","namAut","shTitle"
1,"a00001",726,"_726_","a00726","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_726_','a00001') WHERE 1;","ADDISON, HENRY","In Praise of God"
2,"a00002",725,"_725_","a00725","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_725_','a00002') WHERE 1;","ADDISON, HENRY","Out of the Heart proceed evil Thoughts, For"
3,"a00003",724,"_724_","a00724","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_724_','a00003') WHERE 1;","ADDISON, HENRY","Prodigal Son, On the"
4,"a00004",692,"_692_","a00692","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_692_','a00004') WHERE 1;","ADDISON, HENRY","Salvation"
5,"a00005",723,"_723_","a00723","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_723_','a00005') WHERE 1;","ADDISON, HENRY","Two Sermons"
6,"a00006",727,"_727_","a00727","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_727_','a00006') WHERE 1;","ALLEN, JOHN","Ye cannot serve God & Mammon"
7,"a00007",984,"_984_","a00984","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_984_','a00007') WHERE 1;","ANONYMOUS","Blasphemy against the Holy Ghost"
8,"a00008",472,"_472_","a00472","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_472_','a00008') WHERE 1;","ANONYMOUS","Blessed is the Man that Trusteth in the Lord"
9,"a00009",721,"_721_","a00721","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_721_','a00009') WHERE 1;","ANONYMOUS","Death of Edward Lloyd, On the"
10,"a00010",476,"_476_","a00476","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_476_','a00010') WHERE 1;","ANONYMOUS","Dedication to God"
11,"a00011",720,"_720_","a00720","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_720_','a00011') WHERE 1;","ANONYMOUS","Funeral of Anne Lloyd, On the"
12,"a00012",915,"_915_","a00915","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_915_','a00012') WHERE 1;","ANONYMOUS","Funeral sermon on younger Robert Carter at Nomini"
13,"a00013",919,"_919_","a00919","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_919_','a00013') WHERE 1;","ANONYMOUS","Good Conscience, On"
14,"a00014",473,"_473_","a00473","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_473_','a00014') WHERE 1;","ANONYMOUS","Goodness and Bounty of God, The"
15,"a00015",1,"_1_","a00001 ","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_1_','a00015') WHERE 1;","ANONYMOUS ","He that spared not his own Son "
16,"a00016",718,"_718_","a00718","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_718_','a00016') WHERE 1;","ANONYMOUS","Homily of the State of Matrimony, An"
17,"a00017",917,"_917_","a00917","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_917_','a00017') WHERE 1;","ANONYMOUS","I have lived in all good conscience before God"
18,"a00018",914,"_914_","a00914","UPDATE  `kprint_index_100505` set pind_list = REPLACE(pind_list,'_914_','a00018') WHERE 1;","ANONYMOUS","Let not the wise man glory in his wisdom"
