kpid,"acc","shorttitle"
1,"2028 ","Abiding in Christ"
2,"2107","Abiding in Christ"
3,"1984 ","Abstaining from all appearance of evil "
4,"1777","Abuses of speech, On the"
5,"262","Accessory to others sins, On being"
6,"1658","Action sermon from 1 Corr 1st Ch & 9 vs"
7,"1659","Action sermon from Isai 53 ch & 10 vs"
8,"1660","Action sermon from Zech 6 ch 13 vs"
9,"3134","Acts 10:38, On"
10,"3086","Acts 2: 40, On"
11,"2170","Adapted to the Sacrament"
12,"922","Address from the Clergy of New-York and New-Jersey to the Episcopalians in Virginia, An"
13,"1713","Address on a day of fasting"
14,"413","Advantages of doing penance, On the"
15,"1771","Advantages of simplicity & godly sincerity On the"
16,"1810","Advent, For"
17,"1922","Advent, For"
18,"59","Advent, On"
19,"70","Advent, On"
20,"378","Advent, On"
21,"235c","Advent, On"
22,"2013 ","Advent. Haggai's prophecy "
23,"2149","Affliction"
24,"881","Affliction and Salvation"
25,"183","affliction, On"
26,"4063","Afflictions a Blessing from God"
27,"2189","Afflictions, No. 1"
28,"2196","Afflictions, No. 2"
29,"2197","Afflictions, No. 3"
30,"105","Afflictions, On"
31,"451","Afflictions, On"
32,"934kk","Against evil speaking"
33,"2144","Against habitual Discontent"
34,"754","Against Idleness"
35,"1909","Against Love of ye World"
36,"2089","Against over-solicitous & inordinate concern for the World"
37,"2090","Against over-solicitous & inordinate concern for this world"
38,"934mm","Against the fear of death"
39,"1744","Against the immoderate Pursuit of Pleasure"
40,"2038 ","Agur's petition "
41,"656","All is Vanity & Vexation of Spirit"
42,"2011 ","All nations of the earth blessed in the Seed of Abraham "
43,"235j","All Saints"
44,"452","All Saints, For"
45,"83","All Saints, On the feast of"
46,"439","All Souls"
47,"47","All Souls' Day, On"
48,"3062","Almost Persuaded, The"
49,"1779","Amazing bounty of God to man, On the"
50,"108","Ambition, On"
51,"1704","And I will pray the Father"
52,"934pp","Anent afflictions"
53,"934o","Angels, Of"
54,"2010 ","Anger "
55,"2174","Anger without sinning, On"
56,"934c","Anger, Of"
57,"3082","Anger, On"
58,"3136","Anger, On"
59,"45","Annunciation, On the"
60,"72","Apostles' Creed, On the"
61,"143","Appeal for School Funds, An"
62,"875","Appearance of an approaching Rupture with France, On the"
63,"1648","Archibald Simpson Manuscript Sermons"
64,"1832","Argument from Miracles, The"
65,"1831","Argument from prophecy, The"
66,"1835","Argument from the excellent effects of Xtianity, The"
67,"1834","Argument from the excellent nature of Christianity, The"
68,"1833","Argument from the Life & Character of Jesus, The"
69,"986","Arise ye and Depart"
70,"1703","As the Lord liveth, the man that hath done this thing shall surely die"
71,"334","Ascension of our Lord, The"
72,"1892","Ascension, For the"
73,"80","Ascension, On the"
74,"189","Ascension, On the"
75,"194","Ascension, On the"
76,"222","Ascension, On the"
77,"232","Ascension, On the"
78,"233","Ascension, On the"
79,"315","Ascension, On the"
80,"326","Ascension, On the"
81,"424","Ascension, On the"
82,"1842","Ascension, On the"
83,"3013","Ascension, On the"
84,"3112","Ascension, On the"
85,"383","Ascensionis, In festo"
86,"338","Ash Wednesday"
87,"314","Ash Wednesday, On"
88,"1726","Ask now the beast, & they shall teach thee"
89,"2065","Asking for wisdom of God"
90,"3101","Asking in Jesus' Name, On"
91,"415","Associating with sinners, On"
92,"138","Assumption of Mary, On the"
93,"46","Assumption of our Lady, On ye"
94,"74","Assumption, On the"
95,"82","Assumption, On the"
96,"197","Assumption, On the"
97,"249","Assumption, On the"
98,"416","Assumption, On the"
99,"1899","Atonement of Christ, The"
100,"4067","Avarice, On"
101,"103","Avoidance of sin, On the"
102,"4004","Awakening Sleepers to the Light of Christ"
103,"2155","Awaking from sleep &c."
104,"3055","Baalam's [sic] Wish"
105,"1958 ","Backsliding "
106,"3056","Balaam's Wish"
107,"1791","Baptism, On"
108,"1804","Baptism, On"
109,"3007","Baptism, On"
110,"4010","Baptism, On"
111,"4014","Baptism, On"
112,"900","Be not conformed to this world"
113,"2024 ","Be not overmuch wicked "
114,"2064","Be not weary in well-doing"
115,"1693","Be ye doers of the word"
116,"868","Be Ye Perfect"
117,"937","Become as little children"
118,"1887","Before or after Easter. Nature, ends & effects of the Death of Christ;"
119,"1709","Behold, my Servant shall deal prudently"
120,"1668","Behold, the fear of the Lord, th[at] is Wisdom"
121,"1695","Being of a God, On the"
122,"2119","Being of a God, On the"
123,"4034","Being Ready for the Son of Man"
124,"642","Belief in Christ"
125,"3023","Belief in God, On"
126,"1944 ","Benefit of the Corporation, For the "
127,"1891","Best Christians unprofitable servants, The"
128,"3043","Betrayal of Christ, On"
129,"1716","Betrayest thou the Son o[f] man with a Kiss?"
130,"4030","Beware a Death Unprepared"
131,"3011","Bible and Salvation (1), On the"
132,"3012","Bible and Salvation (2), On the"
133,"1975 ","Binding up of the broken-hearted "
134,"2069","Bishop, For the"
135,"2164","Bishop, For the"
136,"934z","Blameless living, Of"
137,"984","Blasphemy against the Holy Ghost"
138,"1894","Blasphemy against the Holy Ghost"
139,"3128","Blessed are the Meek, On"
140,"3116","Blessed are the Poor in Spirit, On"
141,"1721","Blessed be the God & Father of our Lord Jesus Xt"
142,"472","Blessed is the Man that Trusteth in the Lord"
143,"1967 ","Blessedness described in the first psalm, The "
144,"2150","Blind Bartimeus"
145,"1006","Blood and Body of Christ, The"
146,"2153","Boast not of tomorrow"
147,"3005","Boasting [Witnessing] in God, On"
148,"892","Bordley Funeral Sermon"
149,"1948 ","Both faith and works necessary to Salvation; "
150,"934oo","Burdens of sin, Of the"
151,"1020","Burial of Xt, On the"
152,"669","But thou, when thou prayest, enter into thy Closet"
153,"670","But thou, when thou prayest, enter into thy Closet"
154,"1026","By the Obedience of One shall many be made Righteous"
155,"1670","Can the Ethiopian change his skin, or the Leopard his spots?"
156,"2175","Candid expostulation with those, who trespass against us"
157,"1930 ","Care in hearing the Word. "
158,"276","Care of salvation, On the"
159,"2156","Case of the penitent thief, The"
160,"4021","Catechismum de Domini Cana, In"
161,"969","Cause of Children Advocated, The"
162,"970","Cause of young children advocated, The"
163,"1750","Caution against falling from Grace"
164,"2037 ","Ceasing to do evil "
165,"229","Celestial Glory, On"
166,"2049 ","Centurion's petition for his sick servant, The"
167,"976","Certainty of Death, On the"
168,"1030","Certainty of Death, On the"
169,"1774","Certainty of future happiness, On the"
170,"2152","Character & errand of Ministers"
171,"2032 ","Character of a profitable resolution to amend "
172,"2084","Character of Cornelius, The"
173,"978","Character of Judas, On the"
174,"2130","Character of St Paul, On the"
