kpid,"sti","acc",acc_int
1451,"Abiding in Christ","2028 ",0
1452,"Abiding in Christ","2107",0
1453,"Abstaining from all appearance of evil ","1984 ",0
1454,"Abuses of speech, On the","1777",0
1455,"Accessory to others sins, On being","262",0
1456,"Account Book, Charles Clay, 1773-1818","4055",0
1457,"Action sermon from 1 Corr 1st Ch & 9 vs","1658",0
1458,"Action sermon from Isai 53 ch & 10 vs","1659",0
1459,"Action sermon from Zech 6 ch 13 vs","1660",0
1460,"Acts 10:38, On","3134",0
1461,"Acts 2: 40, On","3086",0
1462,"Adapted to the Sacrament","2170",0
1463,"Address from the Clergy of New-York and New-Jersey to the Episcopalians in Virginia, An","922",0
1464,"Address on a day of fasting","1713",0
1465,"Advantages of doing penance, On the","413",0
1466,"Advantages of simplicity & godly sincerity, On the","1771",0
1467,"Advent, For","1810",0
1468,"Advent, For","1922",0
1469,"Advent, On","59",0
1470,"Advent, On","70",0
1471,"Advent, On","378",0
1472,"Advent, On","235c",0
1473,"Advent. Haggai's prophecy ","2013 ",0
1474,"Affliction","2149",0
1475,"Affliction and Salvation","881",0
1476,"affliction, On","183",0
1477,"Afflictions a Blessing from God","4063",0
1478,"Afflictions, No. 1","2189",0
1479,"Afflictions, No. 2","2196",0
1480,"Afflictions, No. 3","2197",0
1481,"Afflictions, On","105",0
1482,"Afflictions, On","451",0
1483,"Against evil speaking","934kk",0
1484,"Against habitual Discontent","2144",0
1485,"Against Idleness","754",0
1486,"Against Love of ye World","1909",0
1487,"Against over-solicitous & inordinate concern for the World","2089",0
1488,"Against over-solicitous & inordinate concern for this world","2090",0
1489,"Against the fear of death","934mm",0
1490,"Against the immoderate Pursuit of Pleasure","1744",0
1491,"Agur's petition ","2038 ",0
1492,"All is Vanity & Vexation of Spirit","656",0
1493,"All nations of the earth blessed in the Seed of Abraham ","2011 ",0
1494,"All Saints","235j",0
1495,"All Saints, For","452",0
1496,"All Saints, On the feast of","83",0
1497,"All Souls","439",0
1498,"All Souls' Day, On","47",0
1499,"Almost Persuaded, The","3062",0
1500,"Amazing bounty of God to man, On the","1779",0
1501,"Ambition, On","108",0
1502,"And I will pray the Father","1704",0
1503,"Anent afflictions","934pp",0
1504,"Angels, Of","934o",0
1505,"Anger ","2010 ",0
