kpid,"sti","acc","acc_txt",acc_int
1,"Abiding in Christ","2028","a02028",2028
2,"Abiding in Christ","2107","a02107",2107
3,"Abstaining from all appearance of evil ","1984","a01984",1984
4,"Abuses of speech, On the","1777","a01777",1777
5,"Accessory to others sins, On being","262","a00262",262
6,"Account Book, Charles Clay, 1773-1818","4055","a04055",4055
7,"Action sermon from 1 Corr 1st Ch & 9 vs","1658","a01658",1658
8,"Action sermon from Isai 53 ch & 10 vs","1659","a01659",1659
9,"Action sermon from Zech 6 ch 13 vs","1660","a01660",1660
10,"Acts 10:38, On","3134","a03134",3134
11,"Acts 2: 40, On","3086","a03086",3086
12,"Adapted to the Sacrament","2170","a02170",2170
13,"Address from the Clergy of New-York and New-Jersey to the Episcopalians in Virginia, An","922","a00922",922
14,"Address on a day of fasting","1713","a01713",1713
15,"Advantages of doing penance, On the","413","a00413",413
16,"Advantages of simplicity & godly sincerity, On the","1771","a01771",1771
17,"Advent, For","1810","a01810",1810
18,"Advent, For","1922","a01922",1922
19,"Advent, On","59","a00059",59
20,"Advent, On","70","a00070",70
21,"Advent, On","378","a00378",378
22,"Advent, On","235c","a00235c",235
23,"Advent. Haggai's prophecy ","2013","a02013",2013
24,"Affliction","2149","a02149",2149
25,"Affliction and Salvation","881","a00881",881
26,"affliction, On","183","a00183",183
27,"Afflictions a Blessing from God","4063","a04063",4063
28,"Afflictions, No. 1","2189","a02189",2189
29,"Afflictions, No. 2","2196","a02196",2196
30,"Afflictions, No. 3","2197","a02197",2197
31,"Afflictions, On","105","a00105",105
32,"Afflictions, On","451","a00451",451
33,"Against evil speaking","934kk","a00934kk",934
34,"Against habitual Discontent","2144","a02144",2144
35,"Against Idleness","754","a00754",754
36,"Against Love of ye World","1909","a01909",1909
37,"Against over-solicitous & inordinate concern for the World","2089","a02089",2089
38,"Against over-solicitous & inordinate concern for this world","2090","a02090",2090
39,"Against the fear of death","934mm","a00934mm",934
40,"Against the immoderate Pursuit of Pleasure","1744","a01744",1744
41,"Agur's petition ","2038","a02038",2038
42,"All is Vanity & Vexation of Spirit","656","a00656",656
43,"All nations of the earth blessed in the Seed of Abraham ","2011","a02011",2011
44,"All Saints","235j","a00235j",235
45,"All Saints, For","452","a00452",452
46,"All Saints, On the feast of","83","a00083",83
47,"All Souls","439","a00439",439
48,"All Souls' Day, On","47","a00047",47
49,"Almost Persuaded, The","3062","a03062",3062
50,"Amazing bounty of God to man, On the","1779","a01779",1779
51,"Ambition, On","108","a00108",108
52,"And I will pray the Father","1704","a01704",1704
53,"Anent afflictions","934pp","a00934pp",934
54,"Angels, Of","934o","a00934o",934
55,"Anger ","2010","a02010",2010
56,"Anger without sinning, On","2174","a02174",2174
57,"Anger, Of","934c","a00934c",934
58,"Anger, On","3082","a03082",3082
59,"Anger, On","3136","a03136",3136
60,"Annunciation, On the","45","a00045",45
61,"Apostles' Creed, On the","72","a00072",72
62,"Appeal for School Funds, An","143","a00143",143
63,"Appearance of an approaching Rupture with France, On the","875","a00875",875
64,"Archibald Simpson Manuscript Sermons","1648","a01648",1648
65,"Argument from Miracles, The","1832","a01832",1832
66,"Argument from prophecy, The","1831","a01831",1831
67,"Argument from the excellent effects of Xtianity, The","1835","a01835",1835
68,"Argument from the excellent nature of Christianity, The","1834","a01834",1834
69,"Argument from the Life & Character of Jesus, The","1833","a01833",1833
70,"Arise ye and Depart","986","a00986",986
71,"As the Lord liveth, the man that hath done this thing shall surely die","1703","a01703",1703
72,"Ascension of our Lord, The","334","a00334",334
73,"Ascension, For the","1892","a01892",1892
74,"Ascension, On the","80","a00080",80
75,"Ascension, On the","189","a00189",189
76,"Ascension, On the","194","a00194",194
77,"Ascension, On the","222","a00222",222
78,"Ascension, On the","232","a00232",232
79,"Ascension, On the","233","a00233",233
80,"Ascension, On the","315","a00315",315
81,"Ascension, On the","326","a00326",326
82,"Ascension, On the","424","a00424",424
83,"Ascension, On the","1842","a01842",1842
84,"Ascension, On the","3013","a03013",3013
85,"Ascension, On the","3112","a03112",3112
86,"Ascensionis, In festo","383","a00383",383
87,"Ash Wednesday","338","a00338",338
88,"Ash Wednesday, On","314","a00314",314
89,"Ask now the beast, & they shall teach thee","1726","a01726",1726
90,"Asking for wisdom of God","2065","a02065",2065
91,"Asking in Jesus' Name, On","3101","a03101",3101
92,"Associating with sinners, On","415","a00415",415
93,"Assumption of Mary, On the","138","a00138",138
94,"Assumption of our Lady, On ye","46","a00046",46
95,"Assumption, On the","74","a00074",74
96,"Assumption, On the","82","a00082",82
97,"Assumption, On the","197","a00197",197
98,"Assumption, On the","249","a00249",249
99,"Assumption, On the","416","a00416",416
100,"Atonement of Christ, The","1899","a01899",1899
101,"Avarice, On","4067","a04067",4067
102,"Avoidance of sin, On the","103","a00103",103
103,"Awakening Sleepers to the Light of Christ","4004","a04004",4004
104,"Awaking from sleep &c.","2155","a02155",2155
105,"Baalam's [sic] Wish","3055","a03055",3055
106,"Backsliding ","1958","a01958",1958
107,"Balaam's Wish","3056","a03056",3056
108,"Baptism, On","1791","a01791",1791
109,"Baptism, On","1804","a01804",1804
110,"Baptism, On","3007","a03007",3007
111,"Baptism, On","4010","a04010",4010
112,"Baptism, On","4014","a04014",4014
113,"Be not conformed to this world","900","a00900",900
114,"Be not overmuch wicked ","2024","a02024",2024
115,"Be not weary in well-doing","2064","a02064",2064
116,"Be ye doers of the word","1693","a01693",1693
117,"Be Ye Perfect","868","a00868",868
118,"Become as little children","937","a00937",937
119,"Before or after Easter. Nature, ends & effects of the Death of Christ","1887","a01887",1887
120,"Behold, my Servant shall deal prudently","1709","a01709",1709
121,"Behold, the fear of the Lord, th[at] is Wisdom","1668","a01668",1668
122,"Being of a God, On the","1695","a01695",1695
123,"Being of a God, On the","2119","a02119",2119
124,"Being Ready for the Son of Man","4034","a04034",4034
125,"Belief in Christ","642","a00642",642
126,"Belief in God, On","3023","a03023",3023
127,"Benefit of the Corporation, For the ","1944","a01944",1944
128,"Best Christians unprofitable servants, The","1891","a01891",1891
129,"Betrayal of Christ, On","3043","a03043",3043
130,"Betrayest thou the Son o[f] man with a Kiss?","1716","a01716",1716
131,"Beware a Death Unprepared","4030","a04030",4030
132,"Bible and Salvation (1), On the","3011","a03011",3011
133,"Bible and Salvation (2), On the","3012","a03012",3012
134,"Binding up of the broken-hearted ","1975","a01975",1975
135,"Bishop, For the","2069","a02069",2069
136,"Bishop, For the","2164","a02164",2164
137,"Blameless living, Of","934z","a00934z",934
138,"Blasphemy against the Holy Ghost","984","a00984",984
139,"Blasphemy against the Holy Ghost","1894","a01894",1894
140,"Blessed are the Meek, On","3128","a03128",3128
141,"Blessed are the Poor in Spirit, On","3116","a03116",3116
142,"Blessed be the God & Father of our Lord Jesus Xt","1721","a01721",1721
143,"Blessed is the Man that Trusteth in the Lord","472","a00472",472
144,"Blessedness described in the first psalm, The ","1967","a01967",1967
145,"Blind Bartimeus","2150","a02150",2150
146,"Blood and Body of Christ, The","1006","a01006",1006
147,"Boast not of tomorrow","2153","a02153",2153
148,"Boasting [Witnessing] in God, On","3005","a03005",3005
149,"Bordley Funeral Sermon","892","a00892",892
150,"Both faith and works necessary to Salvation; ","1948","a01948",1948
151,"Burdens of sin, Of the","934oo","a00934oo",934
152,"Burial of Xt, On the","1020","a01020",1020
153,"But thou, when thou prayest, enter into thy Closet","669","a00669",669
154,"But thou, when thou prayest, enter into thy Closet","670","a00670",670
155,"By the Obedience of One shall many be made Righteous","1026","a01026",1026
156,"Can the Ethiopian change his skin, or the Leopard his spots?","1670","a01670",1670
157,"Candid expostulation with those, who trespass against us","2175","a02175",2175
158,"Care in hearing the Word","1930","a01930",1930
159,"Care of salvation, On the","276","a00276",276
160,"Case of the penitent thief, The","2156","a02156",2156
161,"Catechismum de Domini Cana, In","4021","a04021",4021
162,"Cause of Children Advocated, The","969a","a00969a",969
163,"Cause of Children Advocated, The","969","a00969",969
164,"Cause of young children advocated, The","970","a00970",970
165,"Caution against falling from Grace","1750","a01750",1750
166,"Ceasing to do evil ","2037","a02037",2037
167,"Celestial Glory, On","229","a00229",229
168,"Centurion's petition for his sick servant, The","2049","a02049",2049
169,"Certainty of Death, On the","976","a00976",976
170,"Certainty of Death, On the","1030","a01030",1030
171,"Certainty of future happiness, On the","1774","a01774",1774
172,"Character & errand of Ministers","2152","a02152",2152
173,"Character of a profitable resolution to amend ","2032","a02032",2032
174,"Character of Cornelius, The","2084","a02084",2084
175,"Character of Judas, On the","978","a00978",978
176,"Character of St Paul, On the","2130","a02130",2130
177,"Charge to the Newly Ordained, A","991c","a00991c",991
178,"Charity of Baltimore, The","114","a00114",114
179,"Charity to one's enemies, On","298","a00298",298
180,"Charity, --as defined by St Paul","1880","a01880",1880
181,"Charity, On","348","a00348",348
182,"Charity, On","349","a00349",349
183,"Charity, On","406","a00406",406
184,"Charity: John the Apostle","163","a00163",163
185,"Charity: Mark, VIII, 2","167","a00167",167
186,"Charity: The Neighbor","145","a00145",145
187,"Children of Light instructed how to walk, The","897","a00897",897
188,"Children, obey your Parents in the Lord","680","a00680",680
189,"Christ a propitiation for the sins of the world ","1977","a01977",1977
190,"Christ as Mediator","4041","a04041",4041
191,"Christ hath redeemed us from the curse of the law","809","a00809",809
192,"Christ Jesus our Lord","1022","a01022",1022
193,"Christ our deliverer and salvation","830","a00830",830
194,"Christ our head","934jj","a00934jj",934
195,"Christ tempted","934uu","a00934uu",934
196,"Christ the light of the World, On","832","a00832",832
197,"Christ the salvation of the end of the earth","2062","a02062",2062
198,"Christ's Crucifixion, Of","934w","a00934w",934
199,"Christ's Invitation to penitent Sinners","1742","a01742",1742
200,"Christ's Love for the Church","4029","a04029",4029
201,"Christ's Passion, Of","934gg","a00934gg",934
202,"Christ's Preaching to Spirits, On","3110","a03110",3110
203,"Christ's propitiation, Of","934cc","a00934cc",934
204,"Christ's reanimated body not imaginary, but real ","1987","a01987",1987
205,"Christ's Resurrection, Of","934j","a00934j",934
206,"Christian Charity","330","a00330",330
207,"Christian Conduct (1), On","3039","a03039",3039
208,"Christian Conduct (2), On","3040","a03040",3040
209,"Christian Conduct (3), On","3092","a03092",3092
210,"Christian Covenant, The","4037","a04037",4037
211,"Christian Parent, The","4031","a04031",4031
212,"Christian race, Of the","934r","a00934r",934
213,"Christian Race, The","1878","a01878",1878
214,"Christian Religion, On the","867","a00867",867
215,"Christian Sacrifice, The","1903","a01903",1903
216,"Christian Salvation","1907","a01907",1907
217,"Christian Salvation a deliverance from Sin ","2030","a02030",2030
218,"Christian Unity (1), On","3024","a03024",3024
219,"Christian Unity (2), On","3025","a03025",3025
220,"Christianity a spring of spiritual joy","2182","a02182",2182
221,"Christianity vindicated ","1959","a01959",1959
222,"Christmas","756","a00756",756
223,"Christmas","757","a00757",757
224,"Christmas Day, For","4035","a04035",4035
225,"Christmas in what Manner to be Kept","3076","a03076",3076
226,"Christmas Religion & Joy compatible, About","2061","a02061",2061
227,"Christmas [Two Sermons by John Coleman]","755","a00755",755
228,"Christmas, For","1793","a01793",1793
229,"Christmas, For ","1970","a01970",1970
230,"Christmas, For","2127","a02127",2127
231,"Church Musick","2201","a02201",2201
232,"Circumcision, On the","437","a00437",437
233,"Circumcision, On the","464","a00464",464
234,"Circumcision, On the","235m","a00235m",235
235,"City that is on an Hill cannot be hid, A","945","a00945",945
236,"Colossians 3:2, On","3089","a03089",3089
237,"Come unto me all ye that labour","1012","a01012",1012
238,"Comforting & edifying one another","2085","a02085",2085
239,"Coming of the Holy Ghost, On the","295","a00295",295
240,"Coming to Judgment","4002","a04002",4002
241,"Commandment to Love, On","3100","a03100",3100
242,"Commandment, On the 3rd.","278","a00278",278
243,"Commandments of God, The","4015","a04015",4015
244,"Commemoration of American Independence","135","a00135",135
245,"Communion, On","209","a00209",209
246,"Communion, On","224","a00224",224
247,"Communion, On","236","a00236",236
248,"Communion, On","260","a00260",260
249,"Communion, On","405","a00405",405
250,"Communion, On","410","a00410",410
251,"Communion, On","235i","a00235i",235
252,"Complaint of Sufferer","4007","a04007",4007
253,"Completion of a church, On","110","a00110",110
254,"Concerning the law of Moses ","2017","a02017",2017
255,"Concerning the Law of Moses, No. 2.","2018","a02018",2018
256,"Condemning one's neighbor, On","354","a00354",354
257,"Confessing of Christ before men, &c.","2151","a02151",2151
258,"Confession of sin, and its blessed Effects","2063","a02063",2063
259,"Confirmation","2141","a02141",2141
260,"Confirmation of faith, On the","117","a00117",117
261,"Confirmation, On","1918","a01918",1918
262,"Confirmation, On","1919","a01919",1919
263,"Confirmation: II Corinthians I, 21","132","a00132",132
264,"Confirmation: John, V","154","a00154",154
265,"Confirmation: Jude, V, 20","140","a00140",140
266,"Conforming our will to God, On","50","a00050",50
267,"Conformity to the World, Against","1864","a01864",1864
268,"Congregational discord, On","109","a00109",109
269,"Conscience void of offence, A","2184","a02184",2184
270,"Conscience, On","1829","a01829",1829
271,"Consideration of our ways","2190","a02190",2190
272,"Contemplation of Christ, The","477","a00477",477
273,"Contempt of the world, On the","107","a00107",107
274,"Contending for the faith ","1993","a01993",1993
275,"Contentment, On","1780","a01780",1780
276,"Continuing patiently in well-doing","2088","a02088",2088
277,"Contrition, On","344","a00344",344
278,"Convention Sermon","749","a00749",749
279,"Corinthians 11: 29, On 1","3140","a03140",3140
280,"Corr 1, 21, 1[First]","1643","a01643",1643
281,"Corrupt Clergy, A","842","a00842",842
282,"Corruption of Heart, On ","2048","a02048",2048
283,"Counsel of God & Future Glory","1870","a01870",1870
284,"Counsels of the Heart, On","3029","a03029",3029
285,"Covering sin; its evils, &c, &c ","1971","a01971",1971
286,"Creation","951","a00951",951
287,"Creed, On the ","273","a00273",273
288,"Creed, On the","385","a00385",385
289,"Creed, On the 10th Article of the ","263","a00263",263
290,"Creed, On the second article of the;","272","a00272",272
291,"Crime and Curse of Plundering, The","952","a00952",952
292,"Cross, On the","885","a00885",885
293,"Crowning with thorns, On the","433","a00433",433
294,"Crucifixion of The Flesh","1910","a01910",1910
295,"Cup of Blessing, The","999","a00999",999
296,"Daemoniac, The","748","a00748",748
297,"Danger of consenting to smaller offences, The","2205","a02205",2205
298,"Danger of ill advice, On the","1798","a01798",1798
